"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2021年6月23日","5,147.39","5,127.19","5,171.03","5,109.76","136.36K","0.49%"
"2021年6月22日","5,122.16","5,106.07","5,125.82","5,086.28","130.42K","0.62%"
"2021年6月21日","5,090.39","5,088.09","5,123.78","5,058.57","132.19K","-0.24%"
"2021年6月18日","5,102.47","5,104.93","5,128.03","5,064.92","148.59K","0.01%"
"2021年6月17日","5,101.89","5,074.38","5,123.37","5,073.82","120.45K","0.42%"
"2021年6月16日","5,080.49","5,163.25","5,164.52","5,076.02","125.15K","-1.67%"
"2021年6月15日","5,166.56","5,218.56","5,225.50","5,137.41","142.88K","-1.11%"
"2021年6月11日","5,224.70","5,275.75","5,276.10","5,213.60","180.81K","-0.89%"
"2021年6月10日","5,271.47","5,236.47","5,299.53","5,229.52","138.99K","0.67%"
"2021年6月9日","5,236.45","5,224.95","5,253.36","5,215.35","121.82K","0.08%"
"2021年6月8日","5,232.12","5,276.97","5,319.04","5,201.14","130.56K","-0.86%"
"2021年6月7日","5,277.63","5,284.89","5,286.84","5,242.95","127.71K","-0.09%"
"2021年6月4日","5,282.28","5,228.28","5,334.49","5,221.23","144.73K","0.51%"
"2021年6月3日","5,255.29","5,285.71","5,314.37","5,255.07","141.97K","-0.66%"
"2021年6月2日","5,289.97","5,348.34","5,352.64","5,266.79","137.75K","-0.97%"
"2021年6月1日","5,341.68","5,320.47","5,343.75","5,269.26","143.83K","0.19%"
"2021年5月31日","5,331.57","5,318.08","5,331.63","5,281.69","144.60K","0.20%"
"2021年5月28日","5,321.09","5,338.73","5,360.28","5,288.65","164.61K","-0.32%"
"2021年5月27日","5,338.23","5,311.37","5,378.48","5,286.05","148.46K","0.33%"
"2021年5月26日","5,320.59","5,326.12","5,344.28","5,308.74","169.61K","0.04%"
"2021年5月25日","5,318.48","5,165.04","5,324.36","5,161.52","183.00K","3.16%"
"2021年5月24日","5,155.59","5,138.81","5,155.59","5,092.39","126.74K","0.42%"
"2021年5月21日","5,134.15","5,199.13","5,216.16","5,123.12","124.77K","-1.01%"
"2021年5月20日","5,186.41","5,167.05","5,201.59","5,152.04","138.46K","0.27%"
"2021年5月19日","5,172.27","5,173.17","5,193.56","5,151.64","118.73K","-0.30%"
"2021年5月18日","5,187.60","5,190.93","5,201.67","5,156.79","118.40K","0.05%"
"2021年5月17日","5,184.99","5,115.31","5,206.69","5,115.31","153.89K","1.46%"
"2021年5月14日","5,110.59","5,007.63","5,112.98","4,981.29","159.43K","2.36%"
"2021年5月13日","4,992.97","4,992.35","5,022.08","4,975.45","132.28K","-1.02%"
"2021年5月12日","5,044.55","5,003.82","5,051.17","4,995.40","126.62K","0.43%"
"2021年5月11日","5,023.06","4,956.08","5,033.49","4,925.92","151.53K","0.61%"
"2021年5月10日","4,992.42","5,001.44","5,019.39","4,953.70","170.82K","-0.07%"
"2021年5月7日","4,996.05","5,073.46","5,093.75","4,996.04","172.26K","-1.29%"
"2021年5月6日","5,061.12","5,098.80","5,132.90","5,037.41","158.82K","-1.22%"
"2021年4月30日","5,123.49","5,156.36","5,163.25","5,094.93","160.12K","-0.79%"
"2021年4月29日","5,164.17","5,128.28","5,170.58","5,113.65","140.09K","0.88%"
"2021年4月28日","5,119.24","5,073.97","5,119.45","5,059.26","120.62K","0.56%"
